nome;clube;posicao;preco;variacao;ult_ponto;media;jogo;roubada_bola;gol;assistencia;jogo_sem_sofrer_gol;finalizacao_fora;finalizacao_fora;finalizacao_defendida;finalizacao_trave;defesa_dificil;defesa_penalti;gol_contra;cartao_vermelho;cartao_amarelo;penalti_perdido;gol_sofrido;falta_cometida;impedimento;passe_errado
Gilson Kleina;Ponte Preta;Técnico;12.23;0.01;2.28;3.91;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gilvan;Atlético-GO;Zagueiro;5.98;1.99;13.2;3.7;10;10;2;0;2;7;4;1;1;0;0;0;0;2;0;0;13;1;19
Guilherme;Atlético-PR;Meia;9.08;-0.37;-1.4;4.64;9;8;3;3;0;10;7;3;0;0;0;0;0;2;0;0;17;2;34
Gustavo Henrique;Santos;Zagueiro;5.7;0;0;5.2;1;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;4;0;1
Gustavo Scarpa;Fluminense;Meia;12.18;-1.82;1.2;4.22;20;19;1;6;0;34;17;21;2;0;0;0;0;0;0;0;17;0;114
Henrique;Fluminense;Zagueiro;8.97;0.64;4.8;2.13;19;21;0;0;2;23;1;1;2;0;0;0;0;3;0;0;19;0;33
Henrique Almeida;Coritiba;Atacante;13.79;-0.35;0.6;3.91;19;17;5;1;0;34;15;11;1;0;0;0;0;3;1;0;23;14;46
Henrique Dourado;Fluminense;Atacante;21.31;-2.12;-0.3;6.49;16;7;12;2;0;31;8;8;0;0;0;0;0;4;0;0;41;4;43
Hernanes;São Paulo;Meia;18.57;1.64;11.5;10.52;6;4;6;1;0;17;4;5;0;0;0;0;0;2;0;0;6;0;20
Hudson;Cruzeiro;Meia;7.57;0.2;6.1;4.01;11;24;1;0;0;12;5;1;0;0;0;0;0;1;0;0;17;0;16
Iago;Coritiba;Atacante;4.16;0.14;0.5;0.16;9;2;0;0;0;4;2;1;0;0;0;0;0;0;0;0;3;2;13
Igor;Atlético-GO;Meia;3.25;-1.17;-2.7;1.75;16;29;1;0;0;27;9;7;0;0;0;0;0;8;0;0;53;3;40
Igor Rabello;Botafogo;Zagueiro;10.03;0.71;0.2;3.14;17;25;0;0;6;9;4;3;0;0;0;1;0;4;0;0;15;1;25
Jadson;Corinthians;Meia;9;0.51;2;1.8;16;9;4;1;0;8;8;3;0;0;0;0;0;2;0;0;13;3;80
Jair Ventura;Botafogo;Técnico;11.78;0.28;4.03;4.1;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jandrei;Chapecoense;Goleiro;4.37;-1.08;0.7;0.95;21;0;0;0;5;9;0;0;0;22;0;0;0;1;0;34;0;0;19
Jean;Bahia;Goleiro;11.45;-0.44;1.1;4.03;22;0;0;0;7;1;0;0;0;41;0;0;0;2;0;30;1;0;18
Jean;Palmeiras;Lateral;13.61;-0.18;-1;4.06;12;12;1;1;4;10;13;2;0;0;0;0;0;1;1;0;7;2;36
Jeferson;Ponte Preta;Lateral;5.91;-0.19;2.5;4.32;10;12;0;1;7;6;2;0;0;0;0;0;0;2;0;0;10;0;42
Jô;Corinthians;Atacante;12.14;0;0;4.41;20;6;11;2;0;24;10;14;0;0;0;0;0;2;1;0;38;22;51
João Paulo;Botafogo;Meia;2.43;0.69;1.2;1.27;17;17;0;3;0;26;6;5;1;0;0;0;0;5;0;0;36;1;66
João Paulo;Coritiba;Meia;5.14;-0.2;-1.2;0.28;4;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;5;0;10
João Paulo Sanches;Atlético-GO;Técnico;6.34;0.66;4.95;3.92;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Joel;Avaí;Atacante;4.46;1.44;6.7;2.34;15;11;3;0;0;16;7;4;1;0;0;0;1;1;0;0;26;5;18
Jonathan;Atlético-GO;Lateral;3.41;2.11;9.8;1.68;9;6;0;0;2;3;2;1;0;0;0;0;0;1;0;0;5;0;15
Jorginho;Atlético-GO;Meia;7.13;2.27;10.7;2.06;20;24;2;0;0;47;6;2;0;0;0;0;1;1;0;0;32;2;72
Juan;Flamengo;Zagueiro;7.02;0.37;6.4;4.47;9;12;0;2;2;5;5;3;1;0;0;0;0;3;0;0;6;0;12
Juan;Avaí;Meia;4.91;0.56;3.6;1.38;16;16;1;1;0;24;9;4;1;0;0;0;1;5;0;0;25;3;50
Jucilei;São Paulo;Meia;14.4;1.31;5.5;4.2;22;54;1;0;0;40;7;1;0;0;0;0;0;0;0;0;32;1;56
Judson;Avaí;Meia;4.49;0.49;3.7;1.18;19;30;0;1;0;11;9;2;0;0;0;0;0;6;0;0;44;0;45
Júlio César;Fluminense;Goleiro;6.01;0.11;4.5;2.36;17;0;0;0;2;10;0;0;0;24;0;0;0;0;0;22;0;0;10
Juninho;Vitória;Lateral;8.46;-0.66;2.7;4.66;5;6;0;1;3;3;0;0;0;0;0;0;0;1;0;0;4;1;13
Júnior Dutra;Avaí;Atacante;9.11;-0.56;6.6;5.22;16;17;5;1;0;25;17;7;2;0;0;0;0;1;0;0;25;3;43
Kannemann;Grêmio;Zagueiro;9.94;0;0;2.7;14;14;0;0;7;8;2;0;1;0;0;0;0;5;0;0;20;1;31
Kanu;Vitória;Zagueiro;11.08;2.28;15.6;4.72;16;21;3;1;6;10;10;3;0;0;0;1;0;4;0;0;13;5;37
Leandro Silva;Avaí;Lateral;9.44;1.67;8.7;3.41;21;28;0;2;9;19;8;4;0;0;0;0;1;1;0;0;27;2;95
Léo;Fluminense;Lateral;3.37;0.15;-1.3;1.15;16;12;1;1;2;7;1;2;0;0;0;0;0;2;0;0;30;3;36
Leonardo Silva;Atlético-MG;Zagueiro;8.7;0.03;1.9;1.53;9;7;0;0;2;16;1;0;0;0;0;0;0;3;0;0;12;0;16
Levir Culpi;Santos;Técnico;10.86;-0.07;2.94;4.32;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lincoln;Grêmio;Meia;2.98;0;0;1.2;8;3;0;1;0;15;1;0;0;0;0;0;0;0;0;0;9;0;14
Luan;Palmeiras;Zagueiro;7.03;0.01;1.7;3.73;12;15;0;0;4;12;5;1;0;0;0;0;0;1;0;0;12;0;11
